Date,A,AA,AAPL,AMZN
2021-03-25,121.900002,29.66,120.589996,3046.26001
2021-03-26,125.639999,32.779999,121.209999,3052.030029
2021-03-29,125.419998,32.040001,121.389999,3075.72998
2021-03-30,124.839996,32.970001,119.900002,3055.290039
2021-03-31,127.139999,32.490002,122.150002,3094.080078
2021-04-01,127.690002,32.23,123.0,3161.0
2021-04-05,130.0,31.549999,125.900002,3226.72998
2021-04-06,131.039993,31.309999,126.209999,3223.820068
2021-04-07,129.339996,31.52,127.900002,3279.389893
2021-04-08,130.690002,31.450001,130.360001,3299.300049
2021-04-09,131.910004,31.360001,133.0,3372.199951
2021-04-12,131.270004,31.77,131.240005,3379.389893
2021-04-13,132.970001,31.24,134.429993,3400.0
2021-04-14,131.970001,33.389999,132.029999,3333.0
2021-04-15,133.279999,32.84,134.5,3379.090088
2021-04-16,134.580002,35.630001,134.160004,3399.439941
2021-04-19,133.5,36.029999,134.839996,3372.01001
2021-04-20,132.460007,32.98,133.110001,3334.689941
2021-04-21,133.830002,34.259998,133.5,3362.02002
2021-04-22,134.529999,33.209999,131.940002,3309.040039
2021-04-23,136.679993,34.709999,134.320007,3340.879883
2021-04-26,137.339996,36.799999,134.720001,3409.0
2021-04-27,136.479996,36.75,134.389999,3417.429932
2021-04-28,134.800003,36.490002,133.580002,3458.5
2021-04-29,134.149994,37.169998,133.479996,3471.310059
2021-04-30,133.639999,36.639999,131.460007,3467.419922
2021-05-03,133.190002,37.610001,132.539993,3386.48999
2021-05-04,130.899994,39.07,127.849998,3311.870117
2021-05-05,133.369995,40.599998,128.100006,3270.540039
2021-05-06,132.399994,39.889999,129.740005,3306.370117
2021-05-07,133.899994,41.200001,130.210007,3291.610107
2021-05-10,131.869995,41.040001,126.849998,3190.48999
2021-05-11,131.419998,41.32,125.910004,3223.909912
2021-05-12,128.639999,39.509998,122.769997,3151.939941
2021-05-13,130.020004,39.130001,124.970001,3161.469971
2021-05-14,131.149994,39.700001,127.449997,3222.899902
2021-05-17,130.110001,40.68,126.269997,3270.389893
2021-05-18,128.75,39.84,124.849998,3232.280029
2021-05-19,130.210007,36.169998,124.690002,3231.800049
2021-05-20,132.149994,35.82,127.309998,3247.679932
2021-05-21,132.300003,36.139999,125.43,3203.080078
2021-05-24,133.339996,36.5,127.099998,3244.98999
2021-05-25,133.229996,35.150002,126.900002,3259.050049
2021-05-26,133.289993,36.549999,126.849998,3265.159912
2021-05-27,137.539993,39.009998,125.279999,3230.110107
2021-05-28,138.130005,39.669998,124.610001,3223.070068
2021-06-01,137.199997,40.98,124.279999,3218.649902
2021-06-02,136.570007,40.0,125.059998,3233.98999
2021-06-03,136.369995,38.720001,123.540001,3187.01001
2021-06-04,137.899994,38.84,125.889999,3206.219971
2021-06-07,137.649994,37.740002,125.900002,3198.01001
2021-06-08,138.75,38.619999,126.739998,3264.110107
2021-06-09,140.130005,37.98,127.129997,3281.149902
2021-06-10,143.059998,37.419998,126.110001,3349.649902
2021-06-11,143.529999,37.380001,127.349998,3346.830078
2021-06-14,144.389999,36.950001,130.479996,3383.870117
2021-06-15,144.619995,36.290001,129.639999,3383.129883
2021-06-16,143.589996,35.360001,130.149994,3415.25
2021-06-17,146.919998,33.580002,131.789993,3489.23999
2021-06-18,145.009995,32.080002,130.460007,3486.899902
2021-06-21,146.410004,33.09,132.300003,3453.959961
2021-06-22,146.630005,33.91,133.979996,3505.439941
2021-06-23,147.240005,35.040001,133.699997,3503.820068
2021-06-24,146.669998,36.349998,133.410004,3449.080078
2021-06-25,147.279999,35.799999,133.110001,3401.459961
2021-06-28,147.929993,36.09,134.779999,3443.889893
2021-06-29,148.809998,37.529999,136.330002,3448.139893
2021-06-30,147.809998,36.84,136.960007,3440.159912
2021-07-01,147.789993,36.959999,137.270004,3432.969971
2021-07-02,148.820007,37.919998,139.960007,3510.97998
2021-07-06,148.979996,36.470001,142.020004,3675.73999
2021-07-07,149.490005,36.23,144.570007,3696.580078
2021-07-08,148.830002,35.360001,143.240005,3731.409912
2021-07-09,150.029999,37.439999,145.110001,3719.340088
2021-07-12,149.509995,37.290001,144.5,3718.550049
2021-07-13,149.270004,35.619999,145.639999,3677.360107
2021-07-14,148.630005,35.139999,149.149994,3681.679932
2021-07-15,148.960007,34.540001,148.479996,3631.199951
2021-07-16,148.929993,32.950001,146.389999,3573.629883
2021-07-19,147.580002,31.620001,142.449997,3549.590088
2021-07-20,149.300003,34.950001,146.149994,3573.189941
2021-07-21,148.949997,37.09,145.399994,3585.199951
2021-07-22,150.300003,37.23,146.800003,3638.030029
2021-07-23,152.309998,37.060001,148.559998,3656.639893
2021-07-26,150.25,38.959999,148.990005,3699.820068
2021-07-27,149.949997,38.27,146.770004,3626.389893
2021-07-28,151.460007,38.23,144.979996,3630.320068
2021-07-29,152.669998,39.369999,145.639999,3599.919922
2021-07-30,153.229996,40.150002,145.860001,3327.590088
2021-08-02,153.070007,39.400002,145.520004,3331.47998
2021-08-03,153.860001,40.380001,147.360001,3366.23999
2021-08-04,154.270004,38.75,146.949997,3354.719971
2021-08-05,155.039993,38.75,147.059998,3375.98999
2021-08-06,155.699997,40.709999,146.139999,3344.939941
2021-08-09,156.539993,40.529999,146.089996,3341.870117
2021-08-10,156.520004,43.869999,145.600006,3320.679932
2021-08-11,156.520004,44.66,145.860001,3292.110107
2021-08-12,158.149994,45.150002,148.889999,3303.5
2021-08-13,159.229996,45.25,149.100006,3293.969971
2021-08-16,162.070007,43.419998,151.119995,3298.98999
2021-08-17,160.910004,41.610001,150.190002,3241.959961
2021-08-18,163.020004,41.490002,146.360001,3201.219971
2021-08-19,167.669998,36.919998,146.699997,3187.75
2021-08-20,168.130005,37.709999,148.190002,3199.949951
2021-08-23,170.0,41.110001,149.710007,3265.870117
2021-08-24,170.570007,42.130001,149.619995,3305.780029
2021-08-25,173.300003,42.060001,148.360001,3299.179932
2021-08-26,173.589996,41.419998,147.539993,3316.0
2021-08-27,173.809998,44.130001,148.600006,3349.629883
2021-08-30,176.729996,44.049999,153.119995,3421.570068
2021-08-31,175.470001,44.369999,151.830002,3470.790039
2021-09-01,175.449997,45.599998,152.509995,3479.0
2021-09-02,178.020004,46.91,153.649994,3463.120117
2021-09-03,179.279999,47.209999,154.300003,3478.050049
2021-09-07,177.720001,46.77,156.690002,3509.290039
2021-09-08,178.729996,45.73,155.110001,3525.5
2021-09-09,177.229996,47.509998,154.070007,3484.159912
2021-09-10,177.229996,49.5,148.970001,3469.149902
2021-09-13,172.080002,49.220001,149.550003,3457.169922
2021-09-14,172.419998,48.0,148.119995,3450.0
2021-09-15,173.789993,51.68,149.029999,3475.790039
2021-09-16,173.279999,49.41,148.789993,3488.23999
2021-09-17,173.940002,48.830002,146.059998,3462.52002
2021-09-20,171.339996,48.459999,142.940002,3355.72998
2021-09-21,171.440002,45.599998,143.429993,3343.629883
2021-09-22,172.440002,47.950001,145.850006,3380.050049
2021-09-23,172.770004,48.560001,146.830002,3416.0
2021-09-24,172.399994,48.490002,146.919998,3425.52002
2021-09-27,166.380005,51.560001,145.369995,3405.800049
2021-09-28,159.899994,50.98,141.910004,3315.959961
2021-09-29,160.0,50.580002,142.830002,3301.120117
2021-09-30,157.529999,48.939999,141.5,3285.040039
2021-10-01,155.990005,49.77,142.649994,3283.26001
2021-10-04,152.360001,49.18,139.139999,3189.780029
2021-10-05,153.029999,49.049999,141.110001,3221.0
2021-10-06,153.649994,47.049999,142.0,3262.01001
2021-10-07,155.320007,47.049999,143.289993,3302.429932
2021-10-08,152.470001,46.029999,142.899994,3288.620117
2021-10-11,150.020004,47.290001,142.809998,3246.300049
2021-10-12,147.949997,47.779999,141.509995,3247.330078
2021-10-13,150.220001,48.400002,140.910004,3284.280029
2021-10-14,152.589996,48.599998,143.759995,3299.860107
2021-10-15,153.270004,56.0,144.839996,3409.02002
2021-10-18,154.779999,57.240002,146.550003,3446.73999
2021-10-19,155.619995,53.68,148.759995,3444.149902
2021-10-20,157.589996,52.509998,149.259995,3415.060059
2021-10-21,156.940002,49.990002,149.479996,3435.01001
2021-10-22,157.970001,49.25,148.690002,3335.550049
2021-10-25,158.339996,51.169998,148.639999,3320.370117
2021-10-26,158.190002,49.549999,149.320007,3376.070068
2021-10-27,155.259995,45.889999,148.850006,3392.48999
2021-10-28,155.759995,46.450001,152.570007,3446.570068
2021-10-29,157.490005,45.950001,149.800003,3372.429932
2021-11-01,157.059998,46.73,148.960007,3318.110107
2021-11-02,157.850006,47.080002,150.020004,3312.75
2021-11-03,158.199997,47.43,151.490005,3384.0
2021-11-04,157.649994,46.369999,150.960007,3477.0
2021-11-05,156.410004,47.860001,151.279999,3518.98999
2021-11-08,160.940002,48.860001,150.440002,3488.97998
2021-11-09,159.809998,47.240002,150.809998,3576.22998
2021-11-10,159.279999,46.169998,147.919998,3482.050049
2021-11-11,158.789993,51.209999,147.869995,3472.5
2021-11-12,160.880005,51.919998,149.990005,3525.149902
2021-11-15,157.779999,50.630001,150.0,3545.679932
2021-11-16,161.389999,48.200001,151.0,3540.699951
2021-11-17,161.539993,47.919998,153.490005,3549.0
2021-11-18,162.160004,47.700001,157.869995,3696.060059
2021-11-19,164.300003,47.599998,160.550003,3676.570068
2021-11-22,162.779999,48.509998,161.020004,3572.570068
2021-11-23,154.779999,49.02,161.410004,3580.040039
2021-11-24,152.970001,50.459999,161.940002,3580.409912
2021-11-26,152.070007,47.950001,156.809998,3504.560059
2021-11-29,153.419998,49.139999,160.240005,3561.570068
2021-11-30,150.899994,46.529999,165.300003,3507.070068
2021-12-01,148.210007,43.779999,164.770004,3443.719971
2021-12-02,150.990005,44.82,163.759995,3437.360107
2021-12-03,149.330002,44.07,161.839996,3389.790039
2021-12-06,151.470001,45.560001,165.320007,3427.370117
2021-12-07,153.800003,46.939999,171.179993,3523.290039
2021-12-08,156.309998,48.560001,175.080002,3523.159912
2021-12-09,154.610001,49.98,174.559998,3483.419922
2021-12-10,156.259995,48.799999,179.449997,3444.23999
2021-12-13,156.289993,47.779999,175.740005,3391.350098
2021-12-14,151.880005,50.459999,174.330002,3381.830078
2021-12-15,154.309998,50.970001,179.300003,3466.300049
2021-12-16,150.800003,52.59,172.259995,3377.419922
2021-12-17,151.419998,53.73,171.139999,3400.350098
2021-12-20,150.419998,53.110001,169.75,3341.580078
2021-12-21,153.960007,56.790001,172.990005,3408.340088
2021-12-22,156.779999,59.310001,175.639999,3420.73999
2021-12-23,157.800003,59.360001,176.279999,3421.370117
2021-12-27,158.740005,59.830002,180.330002,3393.389893
2021-12-28,159.179993,59.189999,179.289993,3413.219971
2021-12-29,160.649994,59.630001,179.380005,3384.02002
2021-12-30,160.880005,59.209999,178.199997,3372.889893
2021-12-31,159.649994,59.580002,177.570007,3334.340088
2022-01-03,156.479996,60.360001,182.009995,3408.090088
2022-01-04,151.190002,57.529999,179.699997,3350.439941
2022-01-05,148.600006,58.549999,174.919998,3287.139893
2022-01-06,149.119995,58.450001,172.0,3265.080078
2022-01-07,145.149994,62.369999,172.169998,3251.080078
2022-01-10,145.160004,61.540001,172.190002,3229.719971
2022-01-11,146.639999,62.200001,175.080002,3307.23999
2022-01-12,149.509995,61.880001,175.529999,3304.139893
2022-01-13,145.169998,60.509998,172.190002,3224.280029
2022-01-14,144.679993,61.389999,173.070007,3242.76001
2022-01-18,140.470001,60.049999,169.800003,3178.350098
2022-01-19,140.429993,59.630001,166.229996,3125.97998
2022-01-20,139.479996,61.25,164.509995,3033.350098
2022-01-21,137.509995,56.209999,162.410004,2852.860107
2022-01-24,138.119995,58.02,161.619995,2890.879883
2022-01-25,134.570007,61.209999,159.779999,2799.719971
2022-01-26,133.509995,60.75,159.690002,2777.449951
2022-01-27,132.089996,58.029999,159.220001,2792.75
2022-01-28,137.059998,57.400002,170.330002,2879.560059
2022-01-31,139.320007,56.709999,174.779999,2991.469971
2022-02-01,141.029999,58.169998,174.610001,3023.870117
2022-02-02,144.240005,59.209999,175.839996,3012.25
2022-02-03,141.789993,62.740002,172.899994,2776.909912
2022-02-04,141.119995,64.220001,172.389999,3152.790039
2022-02-07,140.369995,63.75,171.660004,3158.709961
2022-02-08,140.809998,69.970001,174.830002,3228.27002
2022-02-09,144.440002,71.910004,176.279999,3223.790039
2022-02-10,141.660004,71.169998,172.119995,3180.070068
2022-02-11,137.199997,73.519997,168.639999,3065.870117
2022-02-14,135.210007,73.860001,168.880005,3103.340088
2022-02-15,135.910004,74.040001,172.789993,3130.209961
2022-02-16,135.149994,77.839996,172.550003,3162.01001
2022-02-17,130.25,76.470001,168.880005,3093.050049
2022-02-18,132.050003,78.199997,167.300003,3052.030029
2022-02-22,130.490005,74.089996,164.320007,3003.949951
2022-02-23,126.0,75.32,160.070007,2896.540039
2022-02-24,128.149994,73.300003,162.740005,3027.159912
2022-02-25,133.729996,77.849998,164.850006,3075.77002
2022-02-28,130.360001,75.339996,165.119995,3071.26001
2022-03-01,131.929993,79.779999,163.199997,3022.840088
2022-03-02,133.160004,82.559998,166.559998,3041.050049
2022-03-03,137.169998,82.889999,166.229996,2957.969971
2022-03-04,133.889999,90.660004,163.169998,2912.820068
2022-03-07,130.339996,85.400002,159.300003,2749.060059
2022-03-08,129.320007,82.370003,157.440002,2720.290039
2022-03-09,133.259995,79.519997,162.949997,2785.580078
2022-03-10,134.330002,82.940002,158.520004,2936.350098
2022-03-11,130.309998,79.040001,154.729996,2910.48999
2022-03-14,127.580002,73.5,150.619995,2837.060059
2022-03-15,130.279999,73.709999,155.089996,2947.330078
2022-03-16,135.0,75.629997,159.589996,3062.080078
2022-03-17,136.820007,80.730003,160.619995,3144.780029
2022-03-18,139.119995,82.440002,163.979996,3225.01001
2022-03-21,138.139999,90.690002,165.380005,3229.830078
2022-03-22,139.289993,89.879997,168.820007,3297.780029
2022-03-23,134.179993,94.220001,170.210007,3268.159912
2022-03-24,136.410004,95.059998,174.070007,3272.98999
